licence_id,date,type,destination,iso2,item,quantity,refused,unused,temporary,incorporation,known_revoked,revocation_date,implied_rating,implied_military,year
17,2008-01-03,SIEL,Israel,IL,components for submarines,,0,,0,0,0,,ML9,1,2008
46,2008-01-07,SIEL,Israel,IL,components for helmet mounted display equipment,,0,,0,1,0,,ML11,1,2008
153,2008-01-14,SIEL,Israel,IL,components for airborne electronic warfare equipment,,0,,0,1,0,,ML11,1,2008
178,2008-01-15,SIEL,Israel,IL,components for airborne radars,,0,,0,1,0,,ML5,1,2008
272,2008-01-18,SIEL,Israel,IL,components for helmet mounted display equipment,,0,,0,1,0,,ML11,1,2008
272,2008-01-18,SIEL,Israel,IL,components for military improvised explosive device jamming equipment,,0,,0,1,0,,ML4,1,2008
312,2008-01-21,SIEL,Israel,IL,components for aircraft military communications equipment,,0,,0,0,0,,ML10,1,2008
312,2008-01-21,SIEL,Israel,IL,components for surface-to-air missiles,,0,,0,0,0,,ML4,1,2008
312,2008-01-21,SIEL,Israel,IL,equipment for the use of weapon sights,,0,,0,0,0,,PL5017,1,2008
312,2008-01-21,SIEL,Israel,IL,goods treated for signature suppression for military use,,0,,0,0,0,,ML17,1,2008
312,2008-01-21,SIEL,Israel,IL,technology for the use of weapon sights,,0,,0,0,0,,ML22,1,2008
354,2008-01-22,SIEL,Israel,IL,components for military communications equipment,,0,,1,0,0,,ML11,1,2008
431,2008-01-24,SIEL,Israel,IL,components for military electronic equipment,,0,,0,0,0,,ML11,1,2008
431,2008-01-24,SIEL,Israel,IL,components for naval communications equipment,,0,,0,0,0,,ML9,1,2008
514,2008-01-28,SIEL,Israel,IL,air guns,35.0,0,,0,0,0,,ML1,1,2008
514,2008-01-28,SIEL,Israel,IL,general naval vessel components,,0,,0,0,0,,ML9,1,2008
546,2008-01-29,SIEL,Israel,IL,vintage military vehicles,,0,,0,0,0,,ML6,1,2008
803,2008-02-08,SIEL,Israel,IL,components for attack alerting/warning equipment,,0,,1,0,0,,ML5,1,2008
869,2008-02-12,SIEL,Israel,IL,general military aircraft components,,0,,0,0,0,,ML10,1,2008
994,2008-02-18,SIEL,Israel,IL,general naval vessel components,,0,,0,0,0,,ML9,1,2008
995,2008-02-18,SIEL,Israel,IL,components for combat aircraft,,0,,0,1,0,,ML10,1,2008
995,2008-02-18,SIEL,Israel,IL,components for electronic warfare equipment,,0,,0,1,0,,ML11,1,2008
