licence_id,date,type,destination,iso2,rating,military,refused,unused,count,value,year
17,2008-01-03,SIEL,Israel,IL,ML9,1,0,,1,6215.0,2008
46,2008-01-07,SIEL,Israel,IL,ML11,1,0,,1,1696.0,2008
153,2008-01-14,SIEL,Israel,IL,ML11,1,0,,1,56875.0,2008
178,2008-01-15,SIEL,Israel,IL,ML5,1,0,,1,30000.0,2008
272,2008-01-18,SIEL,Israel,IL,ML4,1,0,,1,181102.0,2008
272,2008-01-18,SIEL,Israel,IL,ML11,1,0,,1,6783.0,2008
312,2008-01-21,SIEL,Israel,IL,ML4,1,0,,1,12653.0,2008
312,2008-01-21,SIEL,Israel,IL,ML10,1,0,,1,1238.0,2008
312,2008-01-21,SIEL,Israel,IL,ML17,1,0,,1,0.0,2008
312,2008-01-21,SIEL,Israel,IL,ML22,1,0,,1,0.0,2008
312,2008-01-21,SIEL,Israel,IL,PL5017,1,0,,1,603.0,2008
354,2008-01-22,SIEL,Israel,IL,ML11,1,0,,1,11.0,2008
431,2008-01-24,SIEL,Israel,IL,ML9,1,0,,1,18500000.0,2008
431,2008-01-24,SIEL,Israel,IL,ML11,1,0,,1,10032.0,2008
514,2008-01-28,SIEL,Israel,IL,ML1,1,0,,1,2905.0,2008
514,2008-01-28,SIEL,Israel,IL,ML9,1,0,,1,5000.0,2008
546,2008-01-29,SIEL,Israel,IL,ML6,1,0,,1,1750.0,2008
803,2008-02-08,SIEL,Israel,IL,ML5,1,0,,1,7980.0,2008
869,2008-02-12,SIEL,Israel,IL,ML10,1,0,,1,391.0,2008
994,2008-02-18,SIEL,Israel,IL,ML9,1,0,,1,1110.0,2008
995,2008-02-18,SIEL,Israel,IL,ML10,1,0,,1,678.0,2008
995,2008-02-18,SIEL,Israel,IL,ML11,1,0,,1,12084.0,2008
1068,2008-02-20,SIEL,Israel,IL,ML5,1,0,,1,218898.0,2008
1069,2008-02-20,SIEL,Israel,IL,ML10,1,0,,1,30000.0,2008
1118,2008-02-21,SIEL,Israel,IL,ML11,1,0,,1,104585.0,2008
1152,2008-02-22,SIEL,Israel,IL,ML4,1,0,,1,1657.0,2008
1153,2008-02-22,SIEL,Israel,IL,ML9,1,0,,1,1588.0,2008
1186,2008-02-25,SIEL,Israel,IL,ML5,1,0,,1,14000.0,2008
1214,2008-02-26,SIEL,Israel,IL,ML11,1,0,,1,26305.0,2008
1245,2008-02-27,SIEL,Israel,IL,ML5,1,0,,1,12000.0,2008
1403,2008-03-06,SIEL,Israel,IL,ML5,1,0,,1,6000.0,2008
1436,2008-03-07,SIEL,Israel,IL,ML5,1,0,,1,8400.0,2008
1471,2008-03-10,SIEL,Israel,IL,ML11,1,0,,1,313.0,2008
1504,2008-03-11,SIEL,Israel,IL,ML11,1,0,,1,1471.0,2008
1506,2008-03-11,SIEL,Israel,IL,ML11,1,0,,1,3826.0,2008
1714,2008-03-20,SIEL,Israel,IL,ML15,1,0,,1,339.0,2008
1802,2008-03-27,SIEL,Israel,IL,ML10,1,0,,1,3731.0,2008
1802,2008-03-27,SIEL,Israel,IL,ML11,1,0,,1,27725.0,2008
1880,2008-03-31,SIEL,Israel,IL,ML11,1,0,,1,1866.0,2008
1881,2008-03-31,SIEL,Israel,IL,ML11,1,0,,1,1357.0,2008
1908,2008-04-01,SIEL,Israel,IL,ML6,1,0,,1,2500.0,2008
1911,2008-04-01,SIEL,Israel,IL,ML11,1,0,,1,55450.0,2008
2008,2008-04-04,SIEL,Israel,IL,ML5,1,0,,1,2930.0,2008
2008,2008-04-04,SIEL,Israel,IL,ML11,1,0,,1,3360.0,2008
2184,2008-04-14,SIEL,Israel,IL,ML5,1,0,,1,43450.0,2008
2213,2008-04-15,SIEL,Israel,IL,ML11,1,0,,1,41714.0,2008
2250,2008-04-16,SIEL,Israel,IL,ML10,1,0,,1,95000.0,2008
2303,2008-04-18,SIEL,Israel,IL,ML4,1,0,,1,147562.0,2008
2303,2008-04-18,SIEL,Israel,IL,ML5,1,0,,1,48480.0,2008
2303,2008-04-18,SIEL,Israel,IL,ML9,1,0,,1,93910.0,2008
2346,2008-04-21,SIEL,Israel,IL,ML5,1,0,,1,18000.0,2008
2396,2008-04-22,SIEL,Israel,IL,ML5,1,0,,1,5680.0,2008
2445,2008-04-23,SIEL,Israel,IL,ML11,1,0,,1,1500.0,2008
2446,2008-04-23,SIEL,Israel,IL,ML11,1,0,,1,1630.0,2008
2475,2008-04-24,SIEL,Israel,IL,ML21,1,0,,1,15000.0,2008
2543,2008-04-28,SIEL,Israel,IL,ML9,1,0,,1,7829.0,2008
2661,2008-05-01,SIEL,Israel,IL,ML10,1,0,,1,5665.0,2008
2702,2008-05-02,SIEL,Israel,IL,ML5,1,0,,1,21636.0,2008
2702,2008-05-02,SIEL,Israel,IL,ML9,1,0,,1,93281.0,2008
2702,2008-05-02,SIEL,Israel,IL,ML10,1,0,,1,9770.0,2008
2730,2008-05-06,SIEL,Israel,IL,ML22,1,0,,1,10.0,2008
2758,2008-05-07,SIEL,Israel,IL,ML10,1,0,,1,109000.0,2008
2758,2008-05-07,SIEL,Israel,IL,ML11,1,0,,1,58574.0,2008
2945,2008-05-15,SIEL,Israel,IL,ML9,1,0,,1,1803.0,2008
3045,2008-05-20,SIEL,Israel,IL,ML11,1,0,,1,9058.0,2008
3079,2008-05-21,SIEL,Israel,IL,ML7,1,0,,1,5.0,2008
3079,2008-05-21,SIEL,Israel,IL,ML11,1,0,,1,8478.0,2008
3079,2008-05-21,SIEL,Israel,IL,ML13,1,0,,1,1.0,2008
3081,2008-05-21,SIEL,Israel,IL,ML11,1,0,,1,176.0,2008
3168,2008-05-27,SIEL,Israel,IL,ML11,1,0,,1,2995.0,2008
3407,2008-06-02,SIEL,Israel,IL,ML10,1,0,,1,1189.0,2008
3622,2008-06-11,SIEL,Israel,IL,ML4,1,0,,1,161842.0,2008
